,review_id,product_id,reviewer_id,stars,review_body,review_title,language,product_category
116933,es_0842174,product_es_0351946,reviewer_es_0344264,3,"La calidad esta bien, pero me quedan demasiado ajustados a la cintura a pesar de ser talla XL, y yo solo soy un 34 en pantalones.",Elástico demasiado ajustado,es,apparel
75133,es_0341008,product_es_0582110,reviewer_es_0830523,2,La pintura metálica negra venía descascarillada en una de las patillas.,Llegó con un defecto de fabricación.,es,apparel
34008,es_0937494,product_es_0292743,reviewer_es_0048723,1,No me ha gustado nada.despues de mes y medio no lo mandan,una estafa grande,es,apparel
142213,es_0274679,product_es_0247177,reviewer_es_0749585,4,"Seguramente me equivoqué yo. Tengo 98 cms de cintura y pedí la XL que es la que usaba con Calvin Klein. Por lo que veo, esta XL sería para una cintura de 102 cms. Ya he pedido otra talla más pequeña, porque la calidad me parece buena, y el resultado... ¡ya veremos!",Talla,es,apparel
54198,es_0294075,product_es_0329997,reviewer_es_0443467,2,"Yo utilizo la talla 38-40 y me pedí la L y aún así quedan algo ajustados de glúteos y muslos con lo que cuesta algo ponerlos, además de que al quedar algos justos el material sintético junto a las costuras se a roto y se esta despegando de la tela dando mala apariencia.",Son cómodos aunque cuesta un poco ponerlos. Pedir una talla mas ya que vienen pequeños,es,apparel
198485,es_0790390,product_es_0092789,reviewer_es_0373807,5,"Muy bien 👍 la gorra es igual a la imagen, es original",Bonita,es,apparel
67597,es_0760707,product_es_0222693,reviewer_es_0521671,2,"Están muy bien, la visión también, pero me quedan grandes.",Gafas polarizadas,es,apparel
6511,es_0090217,product_es_0291759,reviewer_es_0948895,1,"No saben diferenciar entre el fucsia y el violeta, me madaron en 2 ocasiones la funda del color incorrecto, al final la devolví, desistí y tuve que comprar otra diferente",¡¡El rosa no es morado!!,es,apparel
11911,es_0709365,product_es_0209625,reviewer_es_0900034,1,"Una estafa, pequeños, no te viene tan adornado, es super cutre, nada que ver con la foto. No os lo recomiendo, eran para regalar y da hasta pena darselos a alguien",Marta,es,apparel
117764,es_0984512,product_es_0974294,reviewer_es_0550967,3,"El cinturón que aparece en la foto parece más antiguo, tiene un toque rallado, y con pelitos en los lados que lo hace parecer rústico y no es así. El material es de calidad, pero yo lo quería con el toque rústico que he comentado",No parece en la foto,es,apparel
102295,es_0983611,product_es_0977057,reviewer_es_0914633,3,Las posturas el botón de encendido se presiona y se apaga .,El botón de encendido molesta,es,apparel
98999,es_0165298,product_es_0822472,reviewer_es_0543566,3,"no está mal, para el precio que tiene está bastante bien, la tela es fina de licra y queda chulo puesto",calidad precio buena,es,apparel
91435,es_0388796,product_es_0810368,reviewer_es_0674777,3,"Llegó muy tarde, pasado halloween. Es una pena porque está bien hecho y la calidad del algodón es buena, eso me sorprendió. Solicité la devolución pero debía pagar el envío entonces el vendedor me ofreció reintegrarme el 30 por ciento de lo que costó y bueno mejor eso que nada porque ya a mi bebé cuando Le toque otro halloween no le va a quedar",Llegó tarde. Vendedor amable,es,apparel
94832,es_0034110,product_es_0498468,reviewer_es_0226146,3,"la impresion buena y en general se ve bien, la talla correcta pero la tela es un poco fina y transparenta algo",muy chula pero transparenta,es,apparel
172177,es_0666213,product_es_0439479,reviewer_es_0912117,5,el tacto es muy agradable y de muy buena calidad. abriga bastante. recomendable!,muy calentita,es,apparel
57629,es_0254752,product_es_0435615,reviewer_es_0922958,2,Buena calidad pero demasiado pequeña,Tamaño,es,apparel
118919,es_0728033,product_es_0909707,reviewer_es_0323519,3,Pensaba que era tejido de algodón tipo camiseta y es un tejido de jersey.,Tejido de jersey,es,apparel
87666,es_0988211,product_es_0443923,reviewer_es_0441940,3,"El vestido en si está bien,pero la cola viene muy larga,y la parte del cuello es demasiada ancha no me ha gustado mucho lo del cuello,porque viene como de hilos...pero bueno por el precio la verdad q está bastante bien.yo uso una talla L y he pedido la S porque en los comentarios la gente decía q venía grande y es verdad,aún así la S me está algo ancha",Pasable,es,apparel
152334,es_0702557,product_es_0560267,reviewer_es_0357368,4,"segun las medidas he pedido una talla L de los granates y quedan mas grandes de lo que me esperaba. No son unos guantes excesivamente calientes, tienen un poco de pelito, pero son mas de estetica que de abrigar el dias bajo 0. Son muy monos con los lacitos a contraste, es un regalo muy bonito, lo dificil es acertar con la talla",Muy monos aunque tallan un poco grande,es,apparel
157497,es_0955163,product_es_0870300,reviewer_es_0379809,4,"El producto está de acuerdo con mis expectativas, y encuentro una buena relación entre calidad y precio. La estoy utilizando normalmente para mis horas de ocio. Y la misma opinión para el resto de las camisetas que recibí en el mismo pedido.- UN SALUDO.-",La calidad del producto.-,es,apparel
36030,es_0557318,product_es_0838923,reviewer_es_0105763,1,"No lo recibí en la fecha estimada y como era para un evento concreto, ya no me vale y necesitaría devolverlo",NO LLEGO EN LA FECHA ESTIMADA,es,apparel
114685,es_0129164,product_es_0979729,reviewer_es_0138081,3,El que no es que vienen dos rotos,Calcetines,es,apparel
27575,es_0522707,product_es_0971464,reviewer_es_0199680,1,"Acabo de recibir el pedido de calcetines Vicent Creation. En cuanto los abrí, pude observar que los acabados son bastante malos. Se empieza a deshilachar por el borde y las costuras. Pero lo peor es el tamaño. Seleccioné la talla 39-42 (yo tengo un 40) y los calcetines son enormes. Se arrugan en el zapato y son muy incómodos.",Vicent creation 6 pares,es,apparel
171846,es_0083689,product_es_0349708,reviewer_es_0337168,5,"- Cómo aparece en la imagen, perfecto. Es un producto de calidad y el vendedor lo envío bastante rápido.- *",Cómo se detalla,es,apparel
170292,es_0987239,product_es_0410429,reviewer_es_0487339,5,"Cumple con su misión, que es proteger las gafas. Un poco voluminosa pero sin problemas.",Magnifica,es,apparel
109323,es_0608508,product_es_0585492,reviewer_es_0412366,3,"era para regalar, pero todavía no los he entregado, aunque ya compré otros con anterioridad y funcionan a la perfección.",muy bien,es,apparel
170016,es_0203666,product_es_0497842,reviewer_es_0925077,5,Hermosos los lentes me encantan. Son iguales a la foto!!!,Muy bellos y buena calidad,es,apparel
178710,es_0159481,product_es_0231341,reviewer_es_0285787,5,Este vestido es muy lindo! A mi hija no le gusta usar chaquetas y el vestido de manga larga es exactamente lo que necesita usar en este clima. Ella tenía muchos complementos cuando salimos con este atuendo.,Este vestido es muy lindo!,es,apparel
60496,es_0765989,product_es_0159084,reviewer_es_0188768,2,Pues la verdad esperaba mucho más del producto el material al tacto se nota que es muy malo como si fueran del chino,Regular,es,apparel
185941,es_0390945,product_es_0318030,reviewer_es_0818410,5,"Cuatro pares de calcetines de muy buena calidad a muy buen precio, y envío rápido y sin problemas, muy contenta con la compra",Cristina,es,apparel
76801,es_0718467,product_es_0859058,reviewer_es_0899493,2,"Hola no estoy contenta sólo me han mandado el squishy del ciervo y el de pastel de fresa no. Si no estoy equivocada eran los dos squishy ,no se si habrá visto algún error .gracias",Maria dolores,es,apparel
171095,es_0205918,product_es_0698356,reviewer_es_0536533,5,Muy útiles y cómodas de llevar. Soy despistado y suelo olvidarme las gafas para leer con estas siempre salgo de un apuro,Buena elección.,es,apparel
81644,es_0681562,product_es_0952238,reviewer_es_0160919,3,Muy estrecha y para cubrir de avispa. Deberías pesar menos de 60kg para que vaya bien de contorno,Estrecha y corta de contorno,es,apparel
164769,es_0744744,product_es_0119964,reviewer_es_0038146,5,"Es un poco corto,pero muy bonito. A mi sobrina le ha encantado.",Muy bonito,es,apparel
114594,es_0417124,product_es_0025732,reviewer_es_0478079,3,No tiene forma para el culo y te lo chafa,Pasable,es,apparel
134992,es_0922064,product_es_0121130,reviewer_es_0713191,4,"Tiene buen aspecto, recomiendo su compra",CORRECTO,es,apparel
185550,es_0854743,product_es_0727451,reviewer_es_0691924,5,Es muy confortable y permite andar descalzo por la casa con ellos puestos.,Satisfacción con la compra realizada,es,apparel
113338,es_0417606,product_es_0230746,reviewer_es_0461107,3,La braguita no tiene elastico asi que no se ajusta muy bien. El sujetador queda bastante bien.no está mal para el precio que tiene,No está mal,es,apparel
181009,es_0434602,product_es_0463072,reviewer_es_0169485,5,Me gusta el estilo de la camiseta y su logo musical.,Look vintage.,es,apparel
10047,es_0117271,product_es_0728125,reviewer_es_0616936,1,Es muy bonito.. Pero me ha llegado tarde y defectuoso y con talla equivocada,Bonito y elastico,es,apparel
55301,es_0394699,product_es_0343187,reviewer_es_0317496,2,Bonito pero tallaje pequeño,Rapidez,es,apparel
80183,es_0589900,product_es_0552044,reviewer_es_0608466,3,Esperaba algo más sólido en las gotas de silicona que producen el agarre al suelo. Parece que con el uso se van a caer. Habrá que probarlo en las clases de Pilates y editar el comentario más adelante....,Habrá que probarlo...,es,apparel
109623,es_0236012,product_es_0403699,reviewer_es_0531430,3,"Tardo en llegar mas de un mes,pero esta muy logrado y en todo momento el servicio de atencion al cliente me mantuvo informada.",Tarda mucho en llegar pero merece la pena,es,apparel
167212,es_0427907,product_es_0483612,reviewer_es_0184922,5,"Pues es tal cuál a la imagen, tiene un falso bolsillo, como pega diría que no abriga mucho pero me ha gustado bastante.",Perfecto,es,apparel
149784,es_0618484,product_es_0607021,reviewer_es_0086231,4,"La sensación en la mano es de endebles. Diría que no van a durar demasiado. Pero de momento parece que aguantan... Como ya había leído en otras opiniones, el corte o el pulido del cristal no son buenos y hay imperfecciones. En mi caso no molestan, pero a veces se notan. Puede que dependiendo de dónde estén lleguen a molestar más",Dan el pego,es,apparel
93552,es_0727776,product_es_0119988,reviewer_es_0836091,3,"Llegó con la cremallera rota . Por lo demás es d bien material, fácil d vestir y muy gracioso. La gorra es muy útil porque al ser d tmb d licra se adapta a la cabeza sin apretar, seca rápido y protege la nuca","Muy útil , cómodo y práctico. La gorra es lo mejor",es,apparel
63676,es_0423207,product_es_0603708,reviewer_es_0684741,2,Al ser una sola pieza se abren los botones de la entrepierna a la que coges el Niño.,Tendria de ser dos piezas,es,apparel
83240,es_0900230,product_es_0500662,reviewer_es_0957020,3,"son muy altos, y eso no me gusta mucho porque puestos quedan un poco raro. El material es bueno y son cómodos, pero altos.",Me gustan pero...,es,apparel
150462,es_0681096,product_es_0539931,reviewer_es_0889274,4,El tejido es muy suave y la talla pedida se adapta perfectamente a mi pie. Estoy contento con la compra,Perfectos,es,apparel
162234,es_0600344,product_es_0548356,reviewer_es_0205576,5,"Lo pedí ayer y hoy ya lo tengo en casa. Es precioso, lo recomiendo al 100%. Ideal para regalo. Cinturón muy poco visto ya que es muy original y de muy buena calidad. Si estáis pensando en hacer un buen regalo, a vuestra pareja hermano o padre, no lo dudéis.",Me ha encantado,es,apparel
29020,es_0833623,product_es_0056039,reviewer_es_0729796,1,"Pedí dos de diferentes tallas 1 me llegó tardísimo y me dijeron que se había extraviado y el otro no siquiera me a llegado,ellos mismos me han devuelto el dinero.",Entregas,es,apparel
27867,es_0062476,product_es_0341324,reviewer_es_0933163,1,"No me gustan porque tienen costuras y hacen el culo como si fueras un bebé con pañales, eso si, son muy calentitas",Con costuras,es,apparel
179701,es_0441393,product_es_0921860,reviewer_es_0068665,5,Recibidos rápido y todo correcto,Cómodos,es,apparel
176030,es_0365849,product_es_0396765,reviewer_es_0176906,5,"Estoy embarazada de casi 7 meses, me molesta la zona lumbar y al ponerme el cinturón noto alivio y sensacion de ligereza, es bastante cómodo. Lo recomiendo",Cumple su función,es,apparel
148311,es_0088631,product_es_0096491,reviewer_es_0175788,4,"Son muy bonitos, tal como en las imágenes. Mi hijo tiene un 43 y le quedan un poquitín pequeños, pero aún así se los pone.",Es lo que esperábamos.,es,apparel
6234,es_0555806,product_es_0013614,reviewer_es_0321006,1,"Es un timo!!! No la entregan nunca, llevo esperando meses y nunca llega. Imposible saber de la compañía de transportes ni de la empresa vendedora.",TIMO,es,apparel
93395,es_0744458,product_es_0132279,reviewer_es_0796986,3,"Tengo otra de Decathlon y me parece mucho mejor que esta. No es que sea mala mala, pero teniendo en cuenta que la otra no es mucho más cara y es mejor, esta no puede tener una alta puntuación. Además, me pica durante la primera media hora y eso no me pasa ni me ha pasado con la otra que tengo. Sí me pican unas mangas que me he comprado, algo que me parece importante mencionar porque mi piel es bastante sensible.",Aceptable si no exigimos mucho,es,apparel
53479,es_0290747,product_es_0143903,reviewer_es_0678747,2,El producto no lo he recibido aun,No recibir el producto,es,apparel
15415,es_0193885,product_es_0252820,reviewer_es_0506222,1,La cremallera trasera es de muy mala calidad. Compré dos y en menos de 24 horas las dos cremalleras se rompieron,Mala cremallera,es,apparel
3541,es_0361902,product_es_0585387,reviewer_es_0452350,1,De momento ya se retrasó 2 semanas y sigue sin llegar. Sigo esperando... Y pongo una estrella de momento por que no deja poner 0. Cuando llegue si llega ya lo valoraré.,No llega nada,es,apparel
69399,es_0068490,product_es_0510702,reviewer_es_0970541,2,Era tal cual se veía en la foto.,Llego en perfecto estado. Espero que dure,es,apparel
101175,es_0639211,product_es_0951893,reviewer_es_0110316,3,"Es todo maravilloso excepto el botó para quitarse el cinturón, hasta que no le pillas el truco las pasas canutas y así y todo a veces también cuesta.",Genial excepto el botón,es,apparel
50290,es_0937847,product_es_0687033,reviewer_es_0586375,2,La verdad es que ha sido toda una decepción. La tela no es nada del otro mundo y el tallaje es enorme. No lo recomiendo.,Queda super enorme,es,apparel
108206,es_0233203,product_es_0490609,reviewer_es_0777611,3,"La camiseta era para mi novio y le encanto, solo que la talla un poco grande Por lo demás todo bien entrega en el plazo esperado. Lo recomiendo!",Bien,es,apparel
109322,es_0002116,product_es_0145714,reviewer_es_0726713,3,"A ver, no esperéis la mejor calidad del mundo, pero para lo que cuesta no está mal, aunque si lo que quieres es ir bien, no lo recomiendo, se nota que son baratos 😅",Más menos,es,apparel
42329,es_0388984,product_es_0262774,reviewer_es_0591394,2,"Tardo mas de 1 mes, pedi 3xl y es mas pequeña ademas despues del primer lavado (lavadora y secadora) encoje y despues del segundo lavado ya tiene un agujero,muy barato pero mala compra",Demasiado barata para ser buena,es,apparel
66026,es_0589281,product_es_0473644,reviewer_es_0646803,2,"Para sudoración poco o nada, más bien para evitar rozaduras con la camiseta.",Prontitud,es,apparel
3827,es_0741214,product_es_0568906,reviewer_es_0416857,1,No ha llegado todavía,Irresponsable,es,apparel
81162,es_0608796,product_es_0248580,reviewer_es_0625105,3,Calzo un 40 y me quedan un poco pequeños.,Muy bonitos pero muy poco elásticos.,es,apparel
73021,es_0259757,product_es_0063882,reviewer_es_0559020,2,"Compré estas gafas precisamente porque eran polarizadas, pero las que me han llegado no lo son, y no sé porqué.",He comprado unas gafas polarizadas y las que han llegado no lo son,es,apparel
9730,es_0635764,product_es_0147397,reviewer_es_0727858,1,El producton ha llegado rallado i en mal estado,Decepcionado,es,apparel
134122,es_0482481,product_es_0052771,reviewer_es_0998976,4,"Quizás no tenga la mejor calidad de materiales, no es cuero de verdad, pero el sistema sin agujeros ajusta mucho mejor, es mas elegante (¡adiós arrugas por las dobleces!) y mas rápido, ya no quiero otro sistema.",El sistema de hebilla automática es una gozada,es,apparel
148412,es_0693537,product_es_0607712,reviewer_es_0278528,4,Esta bien. Es caliente.,Buena calidad -precio.,es,apparel
89495,es_0385655,product_es_0733799,reviewer_es_0765062,3,Bueno pero mal material,Mal,es,apparel
69427,es_0625683,product_es_0594835,reviewer_es_0590608,2,La goma de la cintura se ha ensanchado a la primera puesta. Se me caen.,Goma cintura,es,apparel
31652,es_0374850,product_es_0889200,reviewer_es_0925412,1,"Es muy pequeño, yo compre una L, que hago M/l y me faltan casi 15cms de ancho",Esperando el reembolso,es,apparel
28688,es_0636210,product_es_0924173,reviewer_es_0472155,1,Esto se a perdio por el camino y no llega nunca lo compre hace mas de un mes vaya mierda de tienda,........,es,apparel
53945,es_0128881,product_es_0627436,reviewer_es_0097997,2,"La verdad es que me resultaba tan incomodo que no llegue ni a salir de casa con él. La verdad es que pegaba mucho, pero no sé como hubiese sido un día entero con él",Incomodo,es,apparel
23299,es_0697056,product_es_0203431,reviewer_es_0801472,1,"Es enorme, mi bebe tiene 3 meses y todavia no se lo he podido poner, no sé porque pone recién nacido cuando no es asi... y el gorro ya le va pequeño pero lo demás es grande",Horrible,es,apparel
53018,es_0107168,product_es_0053794,reviewer_es_0373672,2,Muy mala calidad se desconocido.,Muy mala calidad se desconocido,es,apparel
175303,es_0815989,product_es_0501974,reviewer_es_0745081,5,Buscaba una tardis para llevar y esta camiseta cumple perfectamente su función. La serigrafía es de calidad también (se nota que es producto oficial de la BBC),Chulísima y de calidad,es,apparel
95135,es_0816431,product_es_0801601,reviewer_es_0977047,3,"Deberian modificar el título de producto, ya que no son nada recomendables para niñas porque el tamaño de la felpa es un poco grande y no son apenas elásticas. Los colores si son muy similares a los de la foto de portada del producto.",Recomendable para mujeres,es,apparel
166190,es_0897480,product_es_0076900,reviewer_es_0750063,5,"Bonito diseño, se adapta perfectamente y sienta muy bien... Rapidez en la entrega",Producto recomendado,es,apparel
67895,es_0499895,product_es_0929889,reviewer_es_0008772,2,Hay que pedir una talla más de la que se usa habitualmente. Demasiado pequeño,Pequeño,es,apparel
100832,es_0684502,product_es_0009946,reviewer_es_0741976,3,Es buena pero he tenido q sacarle las varillas q trae pero queda bien,Queda bien,es,apparel
90294,es_0754031,product_es_0146162,reviewer_es_0611480,3,No llegaba nunca y cuando lo reclame me tardaba un mes más en llegar así que lo devolví y tuve que reclamar varias veces el pago,Poco aconsejable,es,apparel
16605,es_0560922,product_es_0836339,reviewer_es_0964332,1,"Doy una estrella por dar algo. Un engaño, al mes ya se pararon las agujas y la tuerca de q va a rosca se quedo encajada y era imposible mover las manillas para poner la hora. Un verguenza",Engaño,es,apparel
169748,es_0935769,product_es_0305329,reviewer_es_0849120,5,"Están muy bien, peude parecer que las patillas son excesivamente blancas pero no lo son, tampoco el tono rojizo de los cristales.",Estupendas.,es,apparel
4575,es_0310312,product_es_0161127,reviewer_es_0536148,1,"El sujetador muy pequeño, he pedido una talla más, y la braga es enorme y el sujetador sigue siendo pequeño",Sujetador muy pequeño,es,apparel
190468,es_0979963,product_es_0870475,reviewer_es_0752808,5,"Los calcetines se ven de buena calidad, para mi gusto son perfectos, ni muy finos ni muy gordos, ideal para el verano, yo pedí mi talla y me vienen perfectos. La goma aprieta lo justo, no se caen pero tampoco te hacen marca. Recomiendo su compra.",Ideales para el verano,es,apparel
105091,es_0760467,product_es_0871560,reviewer_es_0082047,3,"Los guantes son cómodos y suaves. La zona táctil no funciona del todo bien, teniendo que usar los bordes para manejar el móvil. No es muy preciso pero en caso de frío basta para un uso puntual.",Funcional,es,apparel
149103,es_0204030,product_es_0954077,reviewer_es_0423061,4,corresponde a la descripción,Correcto,es,apparel
155095,es_0162799,product_es_0896478,reviewer_es_0921658,4,"Bastante buena relación calidad/precio, creo que son prácticos y como se pueden atar, creo que se pueden usar por cualquiera","Parece buen material y fáciles de limpiar, a mi me han gustado, aunque son diferentes uno de otro",es,apparel
6716,es_0356493,product_es_0477839,reviewer_es_0582692,1,Muy descontenta por que me urgía y me llegaron dos copas derechas asi que no me vale para nada...,Mal...,es,apparel
20108,es_0040557,product_es_0534667,reviewer_es_0021807,1,Llegan solo tres de tres tallas diferentes,Estafa en el pack,es,apparel
105484,es_0421624,product_es_0823330,reviewer_es_0104440,3,SE VE MÁS BONITO EN LA IMAGEN,SE VE MÁS BONITO EN LA IMAGEN,es,apparel
109516,es_0103982,product_es_0987062,reviewer_es_0424949,3,"Esta bien y tiene calidad,solo que son muy pequeños",Es bonito y tiene calidad,es,apparel
103307,es_0535945,product_es_0419588,reviewer_es_0827447,3,"Se rompió la cremallera, al estrenarlo. Con lluvia cala los calzoncillos al sentarme en la moto. Los uso en scooter por ciudad, por lo que les he quitado las protecciones. Para mi uso van bien por lo que si los recomiendo.",Producto aceptable,es,apparel
13468,es_0231324,product_es_0818688,reviewer_es_0683825,1,No se si grandes o pequeños ni calidad ni si son bonitos nunca me llegaron y no responden no es de fiar para compras,No llego,es,apparel
120139,es_0883034,product_es_0438450,reviewer_es_0781561,4,Muy buena calidad precio,Como esperaba,es,apparel
113182,es_0543641,product_es_0703599,reviewer_es_0506215,3,"El tallaje no es el correcto, se pidieron tomando como referencia la tabla de tallas del vendedor y los guantes no dan esa talla.",Dan poca talla,es,apparel
34608,es_0092319,product_es_0289467,reviewer_es_0969769,1,"Las compré para un regalo, cuando leí las opiniones me parecieron buenas... Primero, no me llegaron a tiempo, pero no me causó problema porque tenía días de margen. Lo más importante es la funcionalidad... cuando conduce ve un destello desde el retrovisor que se refleja en el parabrisas del de detrás y para ver el display de la pantalla del coche se las tiene que quitar... en fin, las hemos devuelto.",No son lo que esperaba,es,apparel
126740,es_0122040,product_es_0460554,reviewer_es_0135929,4,"Buena calidad , diseño perfecto","Muy bien, buena calidad y bonito diseño",es,apparel
187663,es_0911817,product_es_0534667,reviewer_es_0887289,5,Lo único que no me gustó es que la parte del cuello es apretada,Bien,es,apparel
76744,es_0591754,product_es_0433480,reviewer_es_0349298,2,"No ha durado un año. Es para exteriores, pero no aguanta el sol o la intemperie, está destrozada",No aguanta bien la intemperie,es,apparel
127229,es_0636039,product_es_0885527,reviewer_es_0976420,4,"El saco es muy cómodo, ligero y de tejido cálido. La talla se corresponde con el tamaño del bebe. Lo recomendaría sin duda. El diseño es sencillo.",Buena relación calidad-precio,es,apparel
68066,es_0931118,product_es_0409013,reviewer_es_0244389,2,Demasiado grande para lo que necesitaba (aunque vengan medidas...me equivoqué..)pero no está nada mal.buena piel y acabado.color marron bonito .,Cristina Vicente,es,apparel
23889,es_0448278,product_es_0612850,reviewer_es_0104059,1,Se rallo la hebilla la tercera o cuarta vez que me lo puse. Un fake! al principio tenia buena pinta pero no duró nada. Dinero tirado.,Una pena.,es,apparel
19268,es_0701408,product_es_0906821,reviewer_es_0946352,1,El color es blanco tirando se beige... Y la talla más bien pequeño,Camiseta,es,apparel
106484,es_0365729,product_es_0912822,reviewer_es_0544487,3,Si me ha gustado. Es muy bonito y original. Lo único la tela. Me gustaría que tuviera más algodón. Pero no se puede tener todo.,Bonito y original,es,apparel
152197,es_0180022,product_es_0308727,reviewer_es_0391150,4,"Polo clásico y sencillo de calidad normal, diseño tradicional y muy buen precio. La tabla de tallas es perfecta!!!! Corresponde con la descripción y expectativas",Polo clásico y sencillo.,es,apparel
65848,es_0659645,product_es_0757889,reviewer_es_0504606,2,"Pese a pedir una talla más de la normal , sigue quedando un poco justo. Tengo una 90 de pecho, 36 de pantalón y pedí una M. La parte de arriba junta el pecho , pero lo aplasta. Y la braguita es muy estrecha de la parte íntima, y talle muy bajo. La calidad por el precio es aceptable.",L,es,apparel
33014,es_0252195,product_es_0241144,reviewer_es_0494372,1,"Sólo con un dia de uso ya se hacen bolas. Tengo que probar el resto de calcetines (compré 6). De momento, muy decepcionado.",Mala calidad del producto.,es,apparel
112204,es_0382991,product_es_0103670,reviewer_es_0517294,3,"Varía más o menos una talla, yo uso la m, pedí la s y me queda algo grande. Por otro lado la tela es muy falsa (como de carnaval) y huele mucho a plástico. Yo le meteré un bien bolso, fajín o cinturón, buen maquillaje y peinado... Creo que bien combinado dará el pego. Si consigo sacarle partido adjunto foto.",No es exacto a la foto,es,apparel
